image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",1140,382,27,27,Golden Hill,B_27th
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",1144,664,28,28,Golden Hill,E_27th
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",238,373,26,27,Golden Hill,B_19th
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",236,689,25,26,Golden Hill,E_19th
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",1138,367,27,27,Golden Hill,B_27th
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",1144,649,28,28,Golden Hill,E_27th
"https://lh3.googleusercontent.com/d/1PRopxpn_jNO0zU6WnS2JyKwaWokuuNxP
",1187,935,25,23,marina,3rd_K
"https://lh3.googleusercontent.com/d/1PRopxpn_jNO0zU6WnS2JyKwaWokuuNxP
",1197,338,22,20,marina,3rd_G
"https://lh3.googleusercontent.com/d/1PRopxpn_jNO0zU6WnS2JyKwaWokuuNxP
",300,327,29,24,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1PRopxpn_jNO0zU6WnS2JyKwaWokuuNxP
",299,469,24,23,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1v8QJfsj2mxElXgjl4EnO1h7-jShIGnmm
",1187,843,23,22,marina,3rd_K
"https://lh3.googleusercontent.com/d/1v8QJfsj2mxElXgjl4EnO1h7-jShIGnmm
",1182,331,20,20,marina,3rd_G
"https://lh3.googleusercontent.com/d/1v8QJfsj2mxElXgjl4EnO1h7-jShIGnmm
",414,336,25,22,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1v8QJfsj2mxElXgjl4EnO1h7-jShIGnmm
",416,459,22,19,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1Byb8FTOwi0HlpCxRXBpKJ5xhXojwjFAc
",348,361,25,23,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1Byb8FTOwi0HlpCxRXBpKJ5xhXojwjFAc
",1161,355,21,19,marina,3rd_G
"https://lh3.googleusercontent.com/d/1Byb8FTOwi0HlpCxRXBpKJ5xhXojwjFAc
",1164,893,24,23,marina,3rd_K
"https://lh3.googleusercontent.com/d/1Byb8FTOwi0HlpCxRXBpKJ5xhXojwjFAc
",349,493,24,22,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1vC_uJUS1AqzCHyS3vWKpd9uGjwsJpBYm
",347,374,25,25,marina,Ketner_G
