url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1Byb8FTOwi0HlpCxRXBpKJ5xhXojwjFAc
",marina,"POLYGON ((360.5 1627.5, 361 1496, 1176 1095.5, 1171.5 1635.5, 360.5 1627.5))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.7375374453912236, -0.022116036581842597, 0.0], [0.013335621350961446, 2.8688418468284453, 0.0], [6277922.605796223, 1835604.0598808487, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",Golden Hill,"POLYGON ((325 1647.5, 319.5 1349, 1182 1381, 1176.5 1650.5, 325 1647.5))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.8388351352342904, -0.03278717398936546, 0.0], [-0.02139508788513922, 3.83520984901088, 0.0], [6284643.430838381, 1835856.1317110602, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1DHIfcwN3kps1tp59nQijNySoDwC2aRX0
",city_center,"POLYGON ((431.5 1615, 430.5 1383, 1355.5 1378.5, 1357 1612.5, 431.5 1615))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.3302214250927893, -0.007199712240313683, 0.0], [-0.003710499304361292, 3.244640619803704, 0.0], [6278886.736674092, 1836941.3859246932, 1.0]]"
"https://lh3.googleusercontent.com/d/1DNwUAMpOrTPtox8N377iMPwe9W5GpKdV
",Barrio Logan,"POLYGON ((404 1514.5, 1033 987, 1256 1260, 475.5 1912.5, 404 1514.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.209272257553859, 0.009814747652987127, 0.0], [-0.06874325036915252, 3.291946044161932, 0.0], [6283611.005990537, 1831190.6722082254, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/1DfSnp0lgRDOOwq8x_RoQbfNg9Vjb0bRb
",gaslamp,"POLYGON ((1008.5 1904, 1007.5 1222, 1349.5 1220, 1340.5 1906, 1008.5 1904))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.6538291129571931, -0.0026222093315255435, 0.0], [0.010449184978824633, 3.922465693596905, 0.0], [6279750.688222497, 1833938.2711500342, 1.0]]"
"https://lh3.googleusercontent.com/d/1DfhhnSBB1QZahzDKYAExVQFxhy8VJmNg
",Columbia,"POLYGON ((850.5 1743.5, 854 1310.5, 1274 1313.5, 1271 1745, 850.5 1743.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9627218415764018, -0.026024092233380758, 0.0], [0.0357728775279611, 2.6072467289693577, 0.0], [6277222.231205112, 1838040.984437133, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",sherman_heights,"POLYGON ((179.5 1897.5, 163 1139.5, 676 1138, 686.5 1894, 179.5 1897.5))","POLYGON ((6285842.880290225 1838320.4808238894, 6285858.862213641 1840242.7000765651, 6287154.647679806 1840266.7971412241, 6287147.123088554 1838309.2908856422, 6285842.880290225 1838320.4808238894))","[[2.5488617368458533, 0.02498078064318551, 0.0], [-0.02993516154219833, 2.5620849818551505, 0.0], [6285459.845126589, 1835386.8457353653, 1.0]]"
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",Golden Hill,"POLYGON ((251 1613.5, 248.5 1298, 1158 1337, 1151.5 1619.5, 251 1613.5))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.6347605060311166, -0.04743245911180788, 0.0], [0.004483400831304607, 3.6415377784981047, 0.0], [6284934.106204341, 1836302.3515060027, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/1GdTyEOVGzB0mTieJgipXLGMz31QoopdD
",east_village_south,"POLYGON ((334 1685, 334 1130.5, 1240.5 1130, 1239.5 1684.5, 334 1685))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[3.0009862589655523, -0.029491587375488012, 0.0], [0.009724570785692777, 3.4257195895947916, 0.0], [6281256.09108868, 1834120.2214238073, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/1JUlt07mOzawpmIyrMwU8j3zmjxnrcvY8
",city_center,"POLYGON ((491.5 1649, 492.5 1429, 1368.5 1430.5, 1368 1652.5, 491.5 1649))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.516385947304545, -0.03032176548991234, 0.0], [0.026855438712118485, 3.4206758914435795, 0.0], [6278545.107681288, 1836552.497240173, 0.9999999999999999]]"
